state,buy_point,signal,score,code,name,industry,price,change_pct,prior_peak_date,prior_peak_price,prior_trough_date,prior_trough_price,breakout_date,impulse_peak_date,impulse_gain_pct,breakout_volume_ratio,above_ma20_ratio_pct,pullback_days,drawdown_pct,pullback_volume_ratio,support_name,support_price,support_date,support_distance_pct,support_validations,confirmation_date,confirmation_body_ratio,confirmation_volume_ratio,confirmation_above_ma20,distance_ma20_pct,trigger,stop,target_2r,risk_pct,risk_reward,amount_yi,turnover,chart_url
B1,1,买点一·MA20回踩确认,63.5,600941,中国移动,未分类,97.71,1.67,2026-04-30,94.909,2026-06-29,85.38,2026-07-20,2026-08-03,16.43,2.09,100.0,9,3.93,0.63,MA20,95.196,2026-08-07,0.32,1,2026-08-14,25.25,2.44,True,1.54,98.326,96.23,102.52,2.13,2.0,13.42,,data/charts/600941.svg
B1,1,买点一·MA20回踩确认,61.5,002517,恺英网络,未分类,18.3,5.42,2026-06-15,15.09,2026-06-22,13.95,2026-06-25,2026-08-04,36.27,2.5,75.86,8,8.68,0.72,MA20,16.969,2026-08-13,2.3,1,2026-08-14,1.65,1.66,True,7.18,18.507,17.074,21.373,7.74,2.0,19.24,,data/charts/002517.svg
B1,1,买点一·MA20回踩确认,58.5,601225,陕西煤业,未分类,25.37,1.16,2026-05-19,23.841,2026-07-01,20.02,2026-07-20,2026-08-11,31.72,1.59,82.35,3,4.89,0.68,MA20,24.771,2026-08-13,1.25,1,2026-08-14,5.5,1.2,True,2.2,25.661,24.825,27.335,3.26,2.0,9.1,,data/charts/601225.svg
B1,1,买点一·MA20回踩确认,56.4,003013,地铁设计,未分类,18.78,5.62,2026-05-21,14.76,2026-05-27,13.75,2026-07-08,2026-08-07,39.49,1.62,82.61,5,8.92,0.7,MA20,16.665,2026-08-11,4.83,1,2026-08-14,2.62,1.87,True,10.41,18.838,17.01,22.493,9.7,2.0,2.34,,data/charts/003013.svg
B1,1,买点一·MA20回踩确认,56.3,603818,曲美家居,未分类,3.62,1.69,2026-06-15,3.08,2026-06-18,2.72,2026-07-01,2026-08-10,37.13,3.19,86.21,4,4.56,0.61,MA20,3.304,2026-08-13,7.73,1,2026-08-14,1.2,1.06,True,8.79,3.647,3.327,4.287,8.77,2.0,0.64,,data/charts/603818.svg
B1,1,买点一·MA20回踩确认,55.7,600395,盘江股份,未分类,5.18,3.19,2026-07-31,4.93,2026-08-05,4.76,2026-08-06,2026-08-12,8.4,2.25,100.0,2,2.71,0.51,MA20,4.825,2026-08-13,4.03,1,2026-08-14,3.2,2.09,True,6.62,5.23,4.859,5.974,7.11,2.0,2.3,,data/charts/600395.svg
B1,1,买点一·MA20回踩确认,55.5,600546,山煤国际,未分类,13.06,2.67,2026-07-31,12.75,2026-08-04,12.01,2026-08-06,2026-08-11,11.99,2.3,100.0,3,5.43,0.49,MA20,12.616,2026-08-13,0.83,1,2026-08-14,1.89,1.31,True,3.01,13.206,12.678,14.263,4.0,2.0,3.1,,data/charts/600546.svg
B1,1,买点一·MA20回踩确认,53.7,000155,川能动力,未分类,12.35,2.32,2026-07-15,11.38,2026-07-20,10.65,2026-07-23,2026-07-30,21.88,2.43,100.0,11,7.78,0.61,MA20,11.653,2026-08-06,2.72,1,2026-08-14,1.71,1.16,True,2.46,12.565,12.053,13.588,4.07,2.0,6.34,,data/charts/000155.svg
B1,1,买点一·MA20回踩确认,52.9,600111,北方稀土,未分类,42.66,4.0,2026-07-23,40.48,2026-07-29,38.11,2026-08-05,2026-08-07,18.34,2.31,100.0,5,9.05,0.69,MA20,40.314,2026-08-13,1.75,1,2026-08-14,1.66,1.87,True,5.14,43.066,40.575,48.048,5.78,2.0,44.8,,data/charts/600111.svg
B1,1,买点一·MA20回踩确认,52.6,603444,吉比特,未分类,390.3,1.57,2026-07-22,365.68,2026-07-27,344.22,2026-07-29,2026-08-11,16.2,2.07,100.0,3,4.17,0.71,MA20,371.124,2026-08-12,3.28,1,2026-08-14,5.12,1.73,True,4.14,392.784,374.775,428.803,4.59,2.0,12.52,,data/charts/603444.svg
B1,1,买点一·MA20回踩确认,52.6,002243,力合科创,未分类,7.51,0.67,2026-07-02,6.98,2026-07-13,6.23,2026-07-16,2026-08-03,21.83,2.82,76.92,9,4.22,0.7,MA20,6.982,2026-08-10,4.13,1,2026-08-14,2.0,1.06,True,5.92,7.605,7.091,8.635,6.77,2.0,0.89,,data/charts/002243.svg
B1,1,买点一·MA20回踩确认,50.6,601898,中煤能源,未分类,14.05,0.86,2026-07-14,13.5,2026-07-16,12.47,2026-08-06,2026-08-11,18.04,2.08,100.0,3,5.37,0.61,MA20,13.852,2026-08-13,0.56,1,2026-08-14,1.5,1.04,True,0.88,14.178,13.928,14.679,1.77,2.0,5.38,,data/charts/601898.svg
B1,1,买点一·MA20回踩确认,50.3,603376,大明电子,未分类,26.29,1.23,2026-07-24,24.28,2026-07-27,23.16,2026-07-30,2026-08-05,16.36,2.98,100.0,7,4.71,0.61,MA20,24.587,2026-08-07,4.45,1,2026-08-14,1.17,1.04,True,4.62,26.433,25.13,29.039,4.93,2.0,0.35,,data/charts/603376.svg
B1,1,买点一·MA20回踩确认,49.6,601699,潞安环能,未分类,16.42,2.82,2026-07-30,15.67,2026-08-04,14.4,2026-08-07,2026-08-11,15.76,2.37,100.0,3,4.2,0.66,MA20,15.447,2026-08-13,3.39,1,2026-08-14,2.15,1.35,True,5.6,16.473,15.55,18.32,5.61,2.0,5.73,,data/charts/601699.svg
B1,1,买点一·MA20回踩确认,49.5,002651,利君股份,未分类,8.39,9.96,2026-07-17,7.46,2026-07-20,6.96,2026-07-27,2026-08-04,15.66,1.32,100.0,8,5.22,0.82,MA20,7.595,2026-08-13,0.47,1,2026-08-14,4.53,2.28,True,9.56,8.407,7.658,9.904,8.91,2.0,1.47,,data/charts/002651.svg
B1,1,买点一·MA20回踩确认,49.4,000983,山西焦煤,未分类,6.84,2.7,2026-07-24,6.59,2026-07-28,6.17,2026-08-06,2026-08-12,12.64,1.71,100.0,2,4.17,0.57,MA20,6.49,2026-08-13,2.61,1,2026-08-14,2.8,1.45,True,4.75,6.894,6.53,7.621,5.28,2.0,4.3,,data/charts/000983.svg
B1,1,买点一·MA20回踩确认,48.9,601666,平煤股份,未分类,9.59,6.67,2026-07-30,8.27,2026-08-04,7.75,2026-08-06,2026-08-10,23.35,1.82,100.0,4,5.96,0.58,MA20,8.262,2026-08-13,8.82,1,2026-08-14,5.09,1.58,True,14.61,9.669,8.368,12.273,13.46,2.0,5.38,,data/charts/601666.svg
